EventType,Date,StartTime,EndTime,Duration,Borough,Category,ZipCode(s)
Shooting Permit,12/5/2022,6:00:00,21:00:00,15:00:00,Brooklyn,WEB,11226
Shooting Permit,12/5/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11221
Shooting Permit,12/6/2022,7:00:00,21:00:00,14:00:00,Manhattan,Episodic Television series,"10021, 10065, 10075"
Shooting Permit,12/5/2022,7:00:00,21:00:00,14:00:00,Manhattan,Episodic Television series,"10021, 10065, 10075"
Shooting Permit,12/4/2022,2:00:00,14:00:00,12:00:00,Manhattan,News,"10036, 10105"
Rigging Permit,12/5/2022,17:45:00,22:45:00,5:00:00,Manhattan,Student,10003
Shooting Permit,12/1/2022,7:00:00,23:00:00,16:00:00,Queens,Episodic Television series,11101
Shooting Permit,12/2/2022,8:00:00,20:00:00,12:00:00,Manhattan,Commercial,10035
Shooting Permit,12/2/2022,11:00:00,1:00:00,14:00:00,Brooklyn,Cable-episodic Television,11222
Shooting Permit,12/2/2022,10:00:00,3:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/3/2022,7:00:00,16:00:00,9:00:00,Manhattan,Reality Television,10019
Shooting Permit,12/3/2022,8:00:00,17:00:00,9:00:00,Brooklyn,Still Photography,11216
Shooting Permit,12/3/2022,2:00:00,14:00:00,12:00:00,Manhattan,News,"10036, 10105"
Shooting Permit,12/2/2022,8:00:00,0:00:00,16:00:00,Queens,Episodic Television series,11105
Shooting Permit,12/5/2022,6:00:00,20:00:00,14:00:00,Queens,Episodic Television series,"11237, 11385"
Shooting Permit,12/5/2022,6:00:00,22:00:00,16:00:00,Staten Island,Episodic Television series,"10304, 10305"
Shooting Permit,12/5/2022,7:00:00,21:00:00,14:00:00,Manhattan,Episodic Television series,"10004, 10005"
Shooting Permit,12/7/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/2/2022,7:00:00,1:00:00,18:00:00,Staten Island,Episodic Television series,"10305, 10306"
Shooting Permit,12/6/2022,8:00:00,22:00:00,14:00:00,Manhattan,Cable-episodic Television,"10019, 10036"
Shooting Permit,12/2/2022,9:30:00,22:00:00,12:30:00,Manhattan,Episodic Television series,"10001, 10011"
Shooting Permit,12/1/2022,7:00:00,20:00:00,13:00:00,Queens,Episodic Television series,"10305, 11375"
Shooting Permit,11/30/2022,6:00:00,10:00:00,4:00:00,Manhattan,News,"10036, 10105"
Shooting Permit,12/2/2022,12/02/2022 11:00:00 AM,16:30:00,1/26/1777 5:30:00,Manhattan,Reality Television,"10010, 10019"
Shooting Permit,12/1/2022,12/01/2022 10:00:00 AM,23:00:00,1/27/1777 13:00:00,Manhattan,Episodic Television series,"10001, 10011, 10014, 10018, 10019, 10036"
Shooting Permit,12/2/2022,7:00:00,21:00:00,14:00:00,Queens,Episodic Television series,"11101, 11207, 11221, 11237, 11385"
Shooting Permit,12/2/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/1/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/1/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/1/2022,7:00:00,21:00:00,14:00:00,Manhattan,Episodic Television series,"10003, 10010, 10011, 10016"
Shooting Permit,11/30/2022,8:30:00,22:00:00,13:30:00,Manhattan,Episodic Television series,"10001, 10011"
Shooting Permit,12/5/2022,7:00:00,21:00:00,14:00:00,Manhattan,Cable-episodic Television,"10019, 10036"
Shooting Permit,12/2/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11231
Shooting Permit,12/7/2022,6:00:00,23:59:00,17:59:00,Manhattan,Award Show,"10019, 10023"
Shooting Permit,11/30/2022,7:00:00,21:00:00,14:00:00,Queens,Episodic Television series,11101
Shooting Permit,12/1/2022,6:30:00,20:30:00,14:00:00,Brooklyn,Episodic Television series,"11207, 11237, 11385"
Shooting Permit,11/29/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,11222
DCAS Prep/Shoot/Wrap Permit,12/1/2022,11:00:00,2:00:00,15:00:00,Manhattan,Cable-episodic Television,"10007, 10013"
Shooting Permit,11/29/2022,7:00:00,19:00:00,12:00:00,Queens,Episodic Television series,11101
Shooting Permit,12/2/2022,7:00:00,23:00:00,16:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/1/2022,7:00:00,23:00:00,16:00:00,Brooklyn,Episodic Television series,11222
